	word pair	human	score	difference
0	('tiger', 'tiger')	10.0	10.0	0.0
1	('fuck', 'sex')	9.44	4.779229164123535	4.660770835876464
2	('journey', 'voyage')	9.29	5.758399963378906	3.531600036621093
3	('midday', 'noon')	9.29	6.483427286148071	2.806572713851928
4	('dollar', 'buck')	9.22	4.2258888483047485	4.994111151695252
5	('money', 'cash')	9.15	6.791561841964722	2.3584381580352787
6	('coast', 'shore')	9.1	6.280819773674011	2.8191802263259884
7	('money', 'currency')	9.04	3.55104923248291	5.488950767517089
8	('football', 'soccer')	9.03	7.845635414123535	1.1843645858764642
9	('magician', 'wizard')	9.02	5.814641118049622	3.205358881950378
10	('type', 'kind')	8.97	5.8455294370651245	3.124470562934876
11	('gem', 'jewel')	8.96	6.8809449672698975	2.0790550327301034
12	('car', 'automobile')	8.94	7.021709680557251	1.9182903194427485
13	('street', 'avenue')	8.88	4.95939314365387	3.920606856346131
14	('asylum', 'madhouse')	8.87	4.290139675140381	4.579860324859618
15	('boy', 'lad')	8.83	6.67967677116394	2.1503232288360596
16	('furnace', 'stove')	8.79	5.862488746643066	2.9275112533569327
17	('seafood', 'lobster')	8.7	6.687743663787842	2.0122563362121575
18	('mile', 'kilometer')	8.66	6.660376787185669	1.9996232128143312
19	('king', 'queen')	8.58	7.069182991981506	1.5108170080184937
20	('murder', 'manslaughter')	8.53	6.164714097976685	2.365285902023315
21	('vodka', 'gin')	8.46	6.733530163764954	1.7264698362350472
22	('planet', 'star')	8.45	2.9749658703804016	5.475034129619598
23	('calculation', 'computation')	8.44	6.648976802825928	1.7910231971740718
24	('money', 'dollar')	8.42	4.787111580371857	3.6328884196281432
25	('championship', 'tournament')	8.36	6.767860054969788	1.5921399450302118
26	('seafood', 'food')	8.34	5.663213133811951	2.676786866188049
27	('man', 'woman')	8.3	7.658364772796631	0.6416352272033699
28	('vodka', 'brandy')	8.13	6.817461848258972	1.3125381517410286
29	('Harvard', 'Yale')	8.13	8.09291660785675	0.03708339214325029
30	('psychology', 'psychiatry')	8.08	6.6196030378341675	1.4603969621658326
31	('planet', 'moon')	8.08	4.549461305141449	3.530538694858551
32	('planet', 'sun')	8.02	3.140820860862732	4.879179139137268
33	('tiger', 'jaguar')	8.0	6.169923543930054	1.8300764560699463
34	('tiger', 'feline')	8.0	4.356145858764648	3.6438541412353516
35	('liquid', 'water')	7.89	5.053108334541321	2.836891665458679
36	('life', 'death')	7.88	4.226117730140686	3.653882269859314
37	('aluminum', 'metal')	7.83	6.124148368835449	1.7058516311645509
38	('cell', 'phone')	7.81	6.11203670501709	1.6979632949829098
39	('lobster', 'food')	7.81	3.678331673145294	4.131668326854705
40	('dollar', 'yen')	7.78	5.468275547027588	2.3117244529724124
41	('wood', 'forest')	7.73	4.435631036758423	3.2943689632415776
42	('dividend', 'payment')	7.63	3.8607236742973328	3.769276325702667
43	('profit', 'loss')	7.63	3.861035108566284	3.7689648914337157
44	('century', 'year')	7.59	4.159387946128845	3.4306120538711546
45	('rock', 'jazz')	7.59	4.870426654815674	2.719573345184326
46	('announcement', 'news')	7.56	4.877708256244659	2.68229174375534
47	('food', 'fruit')	7.52	3.816325068473816	3.7036749315261837
48	('marathon', 'sprint')	7.47	5.6839776039123535	1.7860223960876462
49	('Mexico', 'Brazil')	7.44	5.6805408000946045	1.759459199905396
50	('media', 'radio')	7.42	3.7948957085609436	3.6251042914390563
51	('jaguar', 'cat')	7.42	4.241353273391724	3.1786467266082763
52	('bird', 'crane')	7.38	4.312068819999695	3.067931180000305
53	('tiger', 'cat')	7.35	5.036989450454712	2.3130105495452877
54	('physics', 'chemistry')	7.35	5.3808629512786865	1.9691370487213131
55	('jaguar', 'car')	7.27	2.9673343896865845	4.302665610313415
56	('museum', 'theater')	7.19	3.838968276977539	3.3510317230224613
57	('phone', 'equipment')	7.13	1.8372789025306702	5.29272109746933
58	('bird', 'cock')	7.1	2.081691026687622	5.018308973312378
59	('tiger', 'carnivore')	7.08	4.128140211105347	2.9518597888946534
60	('doctor', 'nurse')	7.0	6.326265335083008	0.6737346649169922
61	('tiger', 'animal')	7.0	4.925628304481506	2.0743716955184937
62	('street', 'block')	6.88	3.6767664551734924	3.2032335448265075
63	('opera', 'performance')	6.88	2.95654833316803	3.92345166683197
64	('drink', 'eat')	6.87	5.541708469390869	1.328291530609131
65	('tiger', 'mammal')	6.85	4.056031405925751	2.793968594074249
66	('cup', 'tableware')	6.85	2.3425225913524628	4.507477408647537
67	('student', 'professor')	6.81	5.284367203712463	1.5256327962875362
68	('football', 'basketball')	6.81	7.027312517166138	0.21731251716613809
69	('television', 'radio')	6.77	6.090893745422363	0.6791062545776363
70	('psychology', 'science')	6.71	5.563256144523621	1.1467438554763794
71	('bishop', 'rabbi')	6.69	4.638020396232605	2.0519796037673954
72	('football', 'tennis')	6.63	5.123117566108704	1.5068824338912963
73	('professor', 'doctor')	6.62	3.963710069656372	2.656289930343628
74	('Japanese', 'American')	6.5	5.21548867225647	1.2845113277435303
75	('street', 'place')	6.44	2.716556191444397	3.7234438085556034
76	('train', 'car')	6.31	4.056016802787781	2.253983197212219
77	('shower', 'thunderstorm')	6.31	3.995729684829712	2.3142703151702877
78	('skin', 'eye')	6.22	3.6218351125717163	2.5981648874282834
79	('bread', 'butter')	6.19	6.623494625091553	0.43349462509155234
80	('precedent', 'antecedent')	6.04	3.5942602157592773	2.4457397842407227
81	('cucumber', 'potato')	5.92	5.197553634643555	0.7224463653564452
82	('king', 'rook')	5.92	4.009056389331818	1.9109436106681823
83	('precedent', 'example')	5.85	3.5837945342063904	2.2662054657936093
84	('smart', 'stupid')	5.81	5.304248929023743	0.5057510709762569
85	('plane', 'car')	5.77	3.482125699520111	2.2878743004798885
86	('lobster', 'wine')	5.7	3.640754222869873	2.059245777130127
87	('tiger', 'fauna')	5.62	3.0358198285102844	2.5841801714897157
88	('psychology', 'discipline')	5.58	4.12088930606842	1.4591106939315797
89	('glass', 'metal')	5.56	4.366762638092041	1.1932373619079586
90	('man', 'governor')	5.25	2.9995882511138916	2.2504117488861084
91	('doctor', 'personnel')	5.0	1.6986316442489624	3.3013683557510376
92	('travel', 'activity')	5.0	1.8466712534427643	3.1533287465572357
93	('monk', 'oracle')	5.0	2.339664250612259	2.660335749387741
94	('cup', 'food')	5.0	1.7177686095237732	3.282231390476227
95	('journal', 'association')	4.97	2.1352000534534454	2.8347999465465543
96	('street', 'children')	4.94	1.673077791929245	3.2669222080707554
97	('car', 'flight')	4.94	2.7596914768218994	2.180308523178101
98	('space', 'chemistry')	4.88	1.1304019391536713	3.7495980608463286
99	('situation', 'conclusion')	4.81	2.9168838262557983	1.8931161737442013
100	('tiger', 'organism')	4.77	1.1683449149131775	3.601655085086822
101	('word', 'similarity')	4.75	2.4451160430908203	2.3048839569091797
102	('peace', 'plan')	4.75	1.5065255761146545	3.2434744238853455
103	('consumer', 'energy')	4.75	2.701040208339691	2.048959791660309
104	('ministry', 'culture')	4.69	2.257077693939209	2.4329223060607914
105	('hospital', 'infrastructure')	4.63	2.271662801504135	2.3583371984958648
106	('smart', 'student')	4.62	1.5636251866817474	3.0563748133182527
107	('investigation', 'effort')	4.59	3.2273799180984497	1.3626200819015502
108	('image', 'surface')	4.56	2.14318186044693	2.4168181395530697
109	('life', 'term')	4.5	1.9842226803302765	2.5157773196697235
110	('start', 'match')	4.47	2.5580227375030518	1.911977262496948
111	('computer', 'news')	4.47	1.1610274016857147	3.308972598314285
112	('board', 'recommendation')	4.47	2.7191847562789917	1.750815243721008
113	('lad', 'brother')	4.46	4.162097275257111	0.29790272474288937
114	('food', 'rooster')	4.42	1.4544469118118286	2.9655530881881713
115	('observation', 'architecture')	4.38	1.615397036075592	2.764602963924408
116	('coast', 'hill')	4.38	3.4121406078338623	0.9678593921661376
117	('deployment', 'departure')	4.25	2.247721552848816	2.002278447151184
118	('benchmark', 'index')	4.25	4.442073106765747	0.19207310676574707
119	('attempt', 'peace')	4.25	1.1008375883102417	3.1491624116897583
120	('consumer', 'confidence')	4.13	2.141018658876419	1.9889813411235808
121	('start', 'year')	4.06	3.6257481575012207	0.4342518424987789
122	('focus', 'life')	4.06	2.17287614941597	1.8871238505840298
123	('development', 'issue')	3.97	1.525220274925232	2.4447797250747683
124	('theater', 'history')	3.91	2.054455876350403	1.8555441236495973
125	('situation', 'isolation')	3.88	3.103276491165161	0.7767235088348388
126	('profit', 'warning')	3.88	1.3748699426651	2.5051300573349
127	('media', 'trading')	3.88	1.5435561537742615	2.3364438462257384
128	('chance', 'credibility')	3.88	2.8317874670028687	1.0482125329971312
129	('precedent', 'information')	3.85	1.5483593940734863	2.3016406059265138
130	('architecture', 'century')	3.78	1.7842650413513184	1.9957349586486814
131	('population', 'development')	3.75	2.4159058928489685	1.3340941071510315
132	('stock', 'live')	3.73	0.9447298943996429	2.785270105600357
133	('cup', 'object')	3.69	1.8486365675926208	1.841363432407379
134	('peace', 'atmosphere')	3.69	2.248034179210663	1.441965820789337
135	('morality', 'marriage')	3.69	3.2448992133140564	0.44510078668594355
136	('minority', 'peace')	3.69	1.0021048039197922	2.6878951960802078
137	('atmosphere', 'landscape')	3.69	2.3639559745788574	1.3260440254211425
138	('report', 'gain')	3.63	0.5226655304431915	3.1073344695568084
139	('music', 'project')	3.63	1.5285103023052216	2.1014896976947783
140	('seven', 'series')	3.56	2.8077176213264465	0.7522823786735535
141	('experience', 'music')	3.47	1.9409944117069244	1.5290055882930758
142	('school', 'center')	3.44	2.056262791156769	1.3837372088432311
143	('five', 'month')	3.38	4.264117479324341	0.8841174793243409
144	('announcement', 'production')	3.38	1.7963135242462158	1.583686475753784
145	('morality', 'importance')	3.31	3.0631619691848755	0.24683803081512457
146	('money', 'operation')	3.31	1.4320065081119537	1.8779934918880463
147	('delay', 'news')	3.31	1.5927058458328247	1.7172941541671753
148	('governor', 'interview')	3.25	1.5313902497291565	1.7186097502708435
149	('practice', 'institution')	3.19	2.117968499660492	1.072031500339508
150	('century', 'nation')	3.16	2.719743847846985	0.4402561521530153
151	('coast', 'forest')	3.15	2.8538289666175842	0.2961710333824157
152	('shore', 'woodland')	3.08	2.425057142972946	0.6549428570270539
153	('drink', 'car')	3.04	2.6728975772857666	0.36710242271423343
154	('president', 'medal')	3.0	1.7651858925819397	1.2348141074180603
155	('prejudice', 'recognition')	3.0	1.7711836099624634	1.2288163900375366
156	('viewer', 'serial')	2.97	1.475003957748413	1.494996042251587
157	('peace', 'insurance')	2.94	1.4293143153190613	1.5106856846809387
158	('Mars', 'water')	2.94	1.1093893647193909	1.830610635280609
159	('cup', 'artifact')	2.92	1.235448569059372	1.684551430940628
160	('media', 'gain')	2.88	1.2345150858163834	1.6454849141836165
161	('precedent', 'cognition')	2.81	0.6607191264629364	2.1492808735370637
162	('announcement', 'effort')	2.75	2.2621795535087585	0.48782044649124146
163	('line', 'insurance')	2.69	0.9344910085201263	1.7555089914798736
164	('crane', 'implement')	2.69	0.5495364591479301	2.14046354085207
165	('drink', 'mother')	2.65	1.4162246882915497	1.2337753117084502
166	('opera', 'industry')	2.63	1.655634492635727	0.974365507364273
167	('volunteer', 'motto')	2.56	1.782519668340683	0.7774803316593171
168	('listing', 'proximity')	2.56	1.9707481563091278	0.5892518436908722
169	('Arafat', 'Jackson')	2.5	2.3528067767620087	0.14719322323799133
170	('precedent', 'collection')	2.5	1.4496718347072601	1.0503281652927399
171	('cup', 'article')	2.4	0.6950614601373672	1.7049385398626327
172	('sign', 'recess')	2.38	0.7738950848579407	1.6061049151420592
173	('problem', 'airport')	2.38	0.9640510380268097	1.4159489619731902
174	('reason', 'hypertension')	2.31	0.60155238956213	1.70844761043787
175	('direction', 'combination')	2.25	1.8651968240737915	0.3848031759262085
176	('Wednesday', 'news')	2.22	2.3882409930229187	0.1682409930229185
177	('cup', 'entity')	2.15	0.6888280808925629	1.461171919107437
178	('glass', 'magician')	2.08	1.1991187185049057	0.8808812814950944
179	('cemetery', 'woodland')	2.08	2.997784912586212	0.9177849125862121
180	('possibility', 'girl')	1.94	0.7836984097957611	1.1563015902042388
181	('cup', 'substance')	1.92	1.3158202171325684	0.6041797828674316
182	('forest', 'graveyard')	1.85	2.878362536430359	1.0283625364303588
183	('stock', 'egg')	1.81	1.1596130579710007	0.6503869420289994
184	('month', 'hotel')	1.81	0.9537050127983093	0.8562949872016907
185	('energy', 'secretary')	1.81	1.4558133482933044	0.3541866517066956
186	('precedent', 'group')	1.77	1.0306136310100555	0.7393863689899445
187	('production', 'hike')	1.75	0.3265465423464775	1.4234534576535225
188	('stock', 'phone')	1.62	1.6040852665901184	0.0159147334098817
189	('holy', 'sex')	1.62	1.8664133548736572	0.24641335487365712
190	('stock', 'CD')	1.31	0.6380093842744827	0.6719906157255173
191	('drink', 'ear')	1.31	0.9571658074855804	0.3528341925144196
192	('delay', 'racism')	1.19	0.7704529166221619	0.4195470833778381
193	('stock', 'life')	0.92	1.1362776160240173	0.2162776160240173
194	('stock', 'jaguar')	0.92	1.2185458838939667	0.29854588389396663
195	('monk', 'slave')	0.92	2.0979350805282593	1.1779350805282593
196	('lad', 'wizard')	0.92	3.244604766368866	2.324604766368866
197	('sugar', 'approach')	0.88	-0.20825861021876335	1.0882586102187632
198	('rooster', 'voyage')	0.62	0.044583603739738464	0.5754163962602615
199	('noon', 'string')	0.54	-0.10279310867190361	0.6427931086719036
200	('chord', 'smile')	0.54	1.2412768602371216	0.7012768602371215
201	('professor', 'cucumber')	0.31	0.8853252232074738	0.5753252232074737
202	('king', 'cabbage')	0.23	1.9205094873905182	1.6905094873905182
